"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4803","0","90.3","35.7","1.9","288"
"","Haryana","5370","0","107.9","33.4","2.6","605"
"","Rajasthan","9388","0","193.3","78.5","-4.1","135"
"","Delhi","3639","0","64.6","43.7","1.2","302"
"","UP","9643","2180","217.7","77.8","-1.7","416"
"","Uttarakhand","1650","75","32.2","19.9","1.8","284"
"","HP","1384","0","25.7","19.7","1.4","144"
"","J&K","1979","100","40.2","30.8","2.9","276"
"","Chandigarh","216","0","3.7","3.2","0.5","53"
"WR","Chhattisgarh","2913","26","63.6","11.1","0.5","564"
"","Gujarat","11410","59","241.2","50.3","0.2","463"
"","MP","9760","60","198.0","113.1","-3.3","219"
"","Maharashtra","17139","274","363.6","111.2","0.4","382"
"","Goa","395","3","7.9","7.0","0.3","33"
"","DD","253","2","6.0","6.2","-0.2","4"
"","DNH","631","5","14.9","14.7","0.2","39"
"","Essar steel","294","2","6.3","5.8","0.5","8"
"SR","Andhra Pradesh","11191","200","255.5","95.3","3.1","416"
"","Karnataka","8517","550","177.5","21.9","2.0","348"
"","Kerala","3145","150","57.0","35.5","2.5","257"
"","Tamil Nadu","10827","650","236.8","71.4","0.9","393"
"","Pondy","302","0","5.9","6.1","-0.1","36"
"ER","Bihar","1944","350","37.8","35.1","0.1","100"
"","DVC","2422","300","55.7","-7.7","4.2","350"
"","Jharkhand","958","0","21.1","9.7","-0.6","110"
"","Odisha","3371","0","64.3","12.1","2.7","300"
"","West Bengal","5981","0","98.7","11.4","5.6","520"
"","Sikkim","110","0","1.7","1.3","0.5","30"
"NER","Arunachal Pradesh","120","5","1.9","1.3","0.6","63"
"","Assam","935","205","18.0","10.7","2.9","200"
"","Manipur","134","1","1.7","1.5","0.2","46"
"","Meghalaya","285","2","5.2","3.1","0.5","46"
"","Mizoram","67","2","1.2","1.0","0.0","21"
"","Nagaland","100","1","1.7","1.2","0.2","30"
"","Tripura","170","19","2.7","-0.1","0.3","72"
