"","NR","WR","SR","ER","NER","All India"
"Coal","356","965","407","329","8","2064"
"Lignite","19","8","42","0","0","70"
"Hydro","278","96","137","131","22","664"
"Nuclear","27","32","55","0","0","114"
"Gas, Naptha & Diesel","35","38","14","0","23","110"
"RES (Wind, Solar, Biomass & Others)","75","91","138","2","0","306"
"Total","791","1230","794","461","52","3329"
