"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.27","1.16","8.89","10.31","57.22","32.47"
"SR GRID","0.00","0.27","1.16","8.89","10.31","57.22","B. Frequency Profile (%)32.47"
