"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7256","0","161.7","101.5","0.1","138"
"","Haryana","5523","18","120.7","66.2","0.0","303"
"","Rajasthan","5885","0","121.0","47.5","-11.2","0"
"","Delhi","3901","0","84.1","66.5","-2.6","125"
"","UP","11349","2150","235.5","113.4","-3.3","398"
"","Uttarakhand","1434","0","30.1","11.5","0.2","247"
"","HP","1102","0","22.2","5.8","-0.6","290"
"","J&K","1582","100","30.3","17.8","-1.0","126"
"","Chandigarh","218","0","4.4","4.6","-0.2","17"
"WR","Chhattisgarh","2733","22","62.8","7.9","-1.3","315"
"","Gujarat","8889","18","187.8","41.7","4.8","412"
"","MP","6477","0","132.8","66.0","-1.6","71"
"","Maharashtra","14397","133","317.0","93.3","6.5","663"
"","Goa","347","0","7.0","6.8","-0.2","4"
"","DD","248","0","5.9","6.0","-0.1","41"
"","DNH","621","0","14.8","14.4","0.3","29"
"","Essar steel","231","0","4.7","4.1","0.5","51"
"SR","Andhra Pradesh","11323","0","255.6","100.4","-1.1","551"
"","Karnataka","7401","300","149.4","23.0","0.2","283"
"","Kerala","2969","150","54.3","10.9","1.2","350"
"","Tamil Nadu","11310","213","255.5","72.4","2.6","380"
"","Pondy","282","0","5.8","6.1","-0.3","21"
"ER","Bihar","2021","300","40.5","39.5","0.9","50"
"","DVC","2496","0","55.7","-22.6","0.2","250"
"","Jharkhand","934","0","15.7","14.3","-5.1","0"
"","Odisha","3395","200","65.0","13.2","0.5","250"
"","West Bengal","5872","0","112.6","28.6","-2.8","50"
"","Sikkim","41","0","0.7","1.1","-0.4","0"
"NER","Arunachal Pradesh","94","6","1.3","1.5","-0.2","29"
"","Assam","1099","209","19.2","14.9","-1.3","13"
"","Manipur","89","9","1.5","2.1","-0.6","14"
"","Meghalaya","258","17","4.7","1.0","1.0","70"
"","Mizoram","56","2","1.3","1.2","-0.1","16"
"","Nagaland","87","3","1.6","1.4","-0.2","3"
"","Tripura","184","16","3.8","1.2","1.0","50"
