"","NR","WR","SR","ER","NER"
"Schedule(MU)","89.2","-80.8","56.6","-68.3","5.4"
"Actual(MU)","72.9","-81.2","60.4","-56.5","8.7"
"O/D/U/D(MU)","-16.3","-0.4","3.8","11.8","3.3"
