"","NR","WR","SR","ER","NER"
"Schedule(MU)","121.6","-94.3","48.7","-79.3","2.8"
"Actual(MU)","121.3","-101.0","55.2","-79.2","-0.2"
"O/D/U/D(MU)","-0.3","-6.7","6.5","0.1","-3.0"
