"","NR","WR","SR","ER","NER"
"Schedule(MU)","133.3","-115.5","45.7","-71.0","6.8"
"Actual(MU)","151.1","-127.5","33.2","-70.4","8.3"
"O/D/U/D(MU)","17.8","-12.0","-12.5","0.6","1.5"
