"","NR","WR","SR","ER","NER"
"Schedule(MU)","72.4","-51.1","45.3","-76.2","9.2"
"Actual(MU)","75.3","-58.9","44.9","-69.8","6.7"
"O/D/U/D(MU)","2.9","-7.8","-0.4","6.4","-2.5"
