"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","1.13","12.53","13.66","73.67","12.70"
"SR GRID","0.00","0.00","1.10","12.50","13.70","73.70","12.70"
