"","NR","WR","SR","ER","NER"
"Schedule(MU)","134.4","-95.2","41.2","-82.2","2.5"
"Actual(MU)","112.2","-101.4","41.3","-58.3","4.1"
"O/D/U/D(MU)","-22.2","-6.2","0.1","23.9","1.6"
