"","NR","WR","SR","ER","NER"
"Schedule(MU)","119.6","-86.8","44.6","-79.4","6.5"
"Actual(MU)","119.8","-99.3","40.4","-67.7","9.5"
"O/D/U/D(MU)","0.2","-12.5","-4.2","11.7","3.0"
