"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.30","4.28","17.75","22.33","71.52","6.17"
"SR GRID","0.00","0.30","4.30","17.80","22.30","71.50","6.10"
