"","NR","WR","SR","ER","NER"
"Schedule(MU)","106.8","-82.6","33.4","-65.8","5.9"
"Actual(MU)","111.2","-98.6","41.3","-66.9","10.1"
"O/D/U/D(MU)","4.4","-16.0","7.9","-1.1","4.2"
