"","NR","WR","SR","ER","NER"
"Schedule(MU)","91.9","-70.4","33.7","-57.8","4.8"
"Actual(MU)","106.7","-82.2","37.9","-71.4","6.7"
"O/D/U/D(MU)","14.8","-11.8","4.2","-13.7","1.9"
