"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","187.4","-225.6","90.7","-54.4","-3.0","-5.0"
"Actual(MU)","175.9","-224.4","93.8","-60.4","3.4","-11.7"
"O/D/U/D(MU)","-11.5","1.2","3.1","-5.9","6.4","-6.7"
