"","NR","WR","SR","ER","NER"
"Schedule(MU)","130.2","-109.5","41.0","-70.0","11.0"
"Actual(MU)","140.0","-116.6","47.6","-83.4","12.4"
"O/D/U/D(MU)","9.8","-7.1","6.6","-13.4","1.4"
