"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6597","0","149.7","64.9","1.4","214"
"","Haryana","7477","0","144.4","95.6","-1.2","268"
"","Rajasthan","9337","0","197.5","54.9","1.1","257"
"","Delhi","4589","0","89.6","75.1","0.4","151"
"","UP","12872","3645","286.7","116.8","2.4","601"
"","Uttarakhand","1771","0","38.6","26.4","1.0","134"
"","HP","1177","0","25.2","12.6","0.0","101"
"","J&K","2010","503","44.2","18.9","5.5","540"
"","Chandigarh","255","0","5.3","5.4","0.3","21"
"WR","Chhattisgarh","3292","0","76.0","22.2","-1.4","447"
"","Gujarat","14183","0","313.7","73.0","-2.1","628"
"","MP","7812","0","162.2","101.9","-0.4","660"
"","Maharashtra","18886","0","421.6","125.4","-0.8","630"
"","Goa","433","0","9.8","7.8","1.6","138"
"","DD","316","0","6.8","6.5","0.3","39"
"","DNH","741","0","17.2","17.2","-0.1","54"
"","Essar steel","572","0","10.2","8.8","1.4","257"
"SR","Andhra Pradesh","6516","0","139.9","13.1","3.2","625"
"","Telangana","5089","0","114.3","72.5","0.1","409"
"","Karnataka","8404","0","183.1","53.6","1.8","418"
"","Kerala","3722","125","71.8","56.7","1.4","228"
"","Tamil Nadu","14250","0","317.2","151.8","-1.8","520"
"","Pondy","360","0","7.8","8.0","-0.2","12"
"ER","Bihar","3436","0","62.7","63.5","-3.5","100"
"","DVC","2847","0","62.7","-34.4","1.2","70"
"","Jharkhand","995","0","21.3","15.7","-0.1","50"
"","Odisha","3924","0","77.8","29.1","2.3","260"
"","West Bengal","7026","0","146.5","38.1","1.9","120"
"","Sikkim","93","0","1.3","1.4","-0.1","20"
"NER","Arunachal Pradesh","105","3","1.8","1.8","-0.1","47"
"","Assam","1310","90","22.5","17.0","2.1","165"
"","Manipur","127","2","2.0","1.9","0.1","57"
"","Meghalaya","249","0","4.6","1.9","0.3","90"
"","Mizoram","81","1","1.3","1.1","0.2","26"
"","Nagaland","99","5","1.8","1.9","-0.1","14"
"","Tripura","207","5","3.2","3.1","-0.5","35"
