"","NR","WR","SR","ER","NER","All India"
"Coal","540","1017","429","412","10","2408"
"Lignite","17","15","46","0","0","78"
"Hydro","351","14","29","104","17","515"
"Nuclear","28","27","55","0","0","110"
"Gas, Naptha & Diesel","29","40","14","0","28","110"
"RES (Wind, Solar, Biomass & Others)","83","171","291","2","0","548"
"Total","1048","1285","864","517","55","3769"
