"","NR","WR","SR","ER","NER","All India"
"Coal","647","1155","494","447","13","2756"
"Lignite","19","12","37","0","0","68"
"Hydro","334","9","39","81","18","481"
"Nuclear","27","29","60","0","0","117"
"Gas, Naptha & Diesel","48","42","16","0","29","135"
"RES (Wind, Solar, Biomass & Others)","88","167","297","2","0","554"
"Total","1163","1415","942","530","60","4110"
