"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.6","2.8","0.6","92.2","7.2"
"SR GRID","0.0","0.1","2.0","9.7","2.1","93.0","4.9"
