"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0","0","0.1","1.0","0.1","82.1","17.8"
"SR GRID","0","0.0","5.5","24.3","5.5","90.3","4.2"
