"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","34786","34492","29977","11917","1926","113098"
"Peak Shortage (MW)","2048","104","1471","25","129","3777"
"Energy Met (MU)","736","753","710","274","35","2508"
"Hydro Gen(MU)","179","88","106","52","16","441"
"Wind Gen(MU)","6","10","57","----------","----------","74"
