"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4426","0","88.6","45.5","5.8","585"
"","Haryana","4979","0","88.8","37.7","3.5","805"
"","Rajasthan","7875","3","160.9","76.3","-1.4","551"
"","Delhi","3205","0","58.5","42.1","0.1","581"
"","UP","9909","1280","212.3","87.6","-2.8","961"
"","Uttarakhand","1545","40","27.9","17.8","1.3","205"
"","HP","1219","0","21.9","11.8","2.0","308"
"","J&K","1891","100","36.5","28.7","0.5","140"
"","Chandigarh","181","0","3.3","3.4","-0.1","21"
"WR","Chhattisgarh","2616","9","53.9","12.0","1.0","350"
"","Gujarat","8846","32","196.9","41.1","-0.1","357"
"","MP","8379","0","178.9","121.9","-5.5","438"
"","Maharashtra","15979","299","343.1","109.4","6.4","415"
"","Goa","489","0","8.4","7.9","-0.1","61"
"","DD","201","0","4.1","4.1","-0.1","56"
"","DNH","588","0","13.6","13.1","0.5","54"
"","Essar steel","202","0","4.0","4.0","0.0","51"
"SR","Andhra Pradesh","10270","0","231.1","88.7","1.5","379"
"","Karnataka","7814","400","159.5","25.3","-0.8","179"
"","Kerala","3296","150","60.2","32.8","2.1","217"
"","Tamil Nadu","10125","667","220.1","72.8","1.5","397"
"","Pondy","289","0","5.5","6.5","-1.0","10"
"ER","Bihar","2218","300","44.3","40.4","1.5","120"
"","DVC","2386","500","53.7","-18.2","0.7","180"
"","Jharkhand","996","0","19.4","14.3","-1.1","60"
"","Odisha","3407","0","61.1","12.1","-3.2","0"
"","West Bengal","6303","0","105.1","14.8","2.1","310"
"","Sikkim","83","0","1.3","1.2","0.1","0"
"NER","Arunachal Pradesh","115","3","1.7","1.2","0.5","63"
"","Assam","1145","37","19.9","10.6","4.1","226"
"","Manipur","106","4","1.4","1.8","-0.4","22"
"","Meghalaya","254","1","4.6","2.5","0.4","84"
"","Mizoram","62","4","1.1","1.0","0.0","22"
"","Nagaland","96","1","1.4","1.2","0.0","29"
"","Tripura","194","1","3.2","0.2","0.4","63"
