"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4702","69","92.0","34.9","1.4","247"
"","Haryana","5140","123","100.9","39.6","-0.2","122"
"","Rajasthan","8571","0","174.6","74.6","-2.6","126"
"","Delhi","3132","0","58.6","40.4","0.5","212"
"","UP","10173","2030","207.7","75.3","1.2","1039"
"","Uttarakhand","1543","75","29.7","19.3","1.7","219"
"","HP","1299","0","24.7","17.1","1.1","149"
"","J&K","1795","100","37.3","28.1","2.4","250"
"","Chandigarh","183","0","3.3","3.2","0.1","23"
"WR","Chhattisgarh","2603","17","56.1","18.2","-0.8","382"
"","Gujarat","11130","34","248.3","27.6","-0.5","357"
"","MP","9448","32","195.0","106.3","-2.8","396"
"","Maharashtra","17654","733","355.4","117.2","3.4","417"
"","Goa","394","2","7.6","7.6","-0.6","52"
"","DD","245","1","5.9","5.9","0.0","55"
"","DNH","633","3","14.9","14.3","0.6","57"
"","Essar steel","413","2","8.0","8.0","0.0","51"
"SR","Andhra Pradesh","10214","0","229.4","87.2","1.5","296"
"","Karnataka","7989","500","172.0","22.6","1.7","324"
"","Kerala","3136","250","60.0","30.3","2.5","276"
"","Tamil Nadu","9211","2586","204.9","65.8","3.4","485"
"","Pondy","297","0","5.7","6.1","-0.4","25"
"ER","Bihar","1800","750","38.1","35.2","0.4","100"
"","DVC","2479","190","56.2","-17.8","-1.6","350"
"","Jharkhand","880","0","20.3","11.1","-3.0","50"
"","Odisha","3474","0","65.5","11.8","-2.1","100"
"","West Bengal","5927","13","98.5","10.9","-0.1","350"
"","Sikkim","111","0","1.5","1.5","0.0","35"
"NER","Arunachal Pradesh","104","11","1.3","1.1","0.2","45"
"","Assam","969","196","18.3","12.0","1.8","95"
"","Manipur","103","2","1.4","1.6","-0.2","35"
"","Meghalaya","282","3","5.0","2.8","0.0","70"
"","Mizoram","62","3","1.2","1.0","0.0","24"
"","Nagaland","85","10","1.4","1.1","0.1","26"
"","Tripura","175","23","3.4","0.1","0.8","33"
