"","NR","WR","SR","ER","NER"
"Schedule(MU)","61.3","-19.2","43.4","-90.6","6.8"
"Actual(MU)","64.0","-20.2","42.7","-97.8","9.1"
"O/D/U/D(MU)","2.7","-1.0","-0.7","-7.2","2.3"
