"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.8","7.4","0.8","97.3","1.8"
"SR GRID","0.0","0.0","11.5","33.0","11.5","88.3","0.2"
