"","NR","WR","SR","ER","NER"
"Schedule(MU)","55.5","-40.3","46.4","-71.5","9.4"
"Actual(MU)","49.8","-39.0","45.8","-69.2","10.7"
"O/D/U/D(MU)","-5.7","1.3","-0.6","2.3","1.3"
