"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7587","0","163.5","107.8","0.8","199"
"","Haryana","6237","0","136.6","84.3","-1.2","163"
"","Rajasthan","7130","0","158.5","62.3","-5.3","179"
"","Delhi","4908","4","103.0","80.3","-1.4","145"
"","UP","10968","1360","241.1","110.5","-2.5","318"
"","Uttarakhand","1600","0","32.1","15.6","1.2","207"
"","HP","1136","0","24.7","3.8","-1.3","77"
"","J&K","1376","100","29.3","13.7","2.1","194"
"","Chandigarh","264","0","5.4","5.8","-0.3","21"
"WR","Chhattisgarh","2577","12","59.3","11.6","1.8","319"
"","Gujarat","10600","40","240.5","85.1","-1.4","338"
"","MP","5882","10","112.4","56.5","-4.9","346"
"","Maharashtra","13515","81","304.0","87.5","2.1","457"
"","Goa","301","1","6.3","6.4","-0.2","71"
"","DD","237","0","5.6","5.6","0.0","45"
"","DNH","574","1","13.3","13.4","-0.1","66"
"SR","Andhra Pradesh","9448","1000","208.1","70.2","2.3","321"
"","Karnataka","5971","300","121.8","10.1","-0.8","378"
"","Kerala","2518","500","44.2","32.1","2.6","282"
"","Tamil Nadu","10389","553","237.7","60.4","2.6","464"
"","Pondy","281","0","5.9","6.5","-0.6","11"
"ER","Bihar","1983","300","40.8","42.0","-1.2","150"
"","DVC","2431","0","54.5","-21.1","0.7","120"
"","Jharkhand","927","0","18.5","14.0","1.3","50"
"","Odisha","3286","200","68.4","17.3","3.5","200"
"","West Bengal","6121","9","128.0","34.8","3.4","350"
"","Sikkim","95","0","1.1","1.5","-0.5","0"
"NER","Arunachal Pradesh","89","1","1.3","1.1","0.2","40"
"","Assam","1005","189","20.0","13.1","1.7","113"
"","Manipur","106","4","1.5","1.6","-0.1","34"
"","Meghalaya","256","8","4.6","1.3","-0.2","65"
"","Mizoram","48","3","1.0","0.8","0.1","13"
"","Nagaland","89","10","1.5","1.1","0.1","22"
"","Tripura","162","50","2.9","0.7","0.5","52"
