"","NR","WR","SR","ER","NER"
"Schedule(MU)","152.5","-131.0","52.2","-76.0","1.3"
"Actual(MU)","160.2","-130.7","48.8","-82.3","2.2"
"O/D/U/D(MU)","7.7","0.3","-3.4","-6.3","0.9"
