"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.00","4.56","4.56","69.83","26.47"
"SR GRID","0.00","0.00","0.00","4.56","4.56","69.83","26.47"
