"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.3","3.5","6.5","3.8","89.1","7.1"
"SR GRID","0.0","0.0","5.3","21.5","5.3","91.7","2.9"
