"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","229.1","-196.9","41.1","-76.3","3.7","0.7"
"Actual(MU)","231.6","-201.8","37.5","-64.8","1.9","4.4"
"O/D/U/D(MU)","2.5","-4.9","-3.6","11.5","-1.8","3.7"
