"","NR","WR","SR","ER","NER","All India"
"Coal","564","964","413","417","12","2370"
"Lignite","21","13","39","0","0","73"
"Hydro","296","124","154","140","24","738"
"Nuclear","28","15","60","0","0","104"
"Gas, Naptha & Diesel","44","65","16","0","28","153"
"RES (Wind, Solar, Biomass & Others)","48","56","156","2","0","262"
"Total","1002","1237","838","560","64","3700"
