"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","39469","42568","41643","18643","2380","144703"
"Peak Shortage (MW)","398","10","0","0","49","457"
"Energy Met (MU)","820","959","928","357","40","3104"
"Hydro Gen(MU)","104","22","51","25","7","210"
"Wind Gen(MU)","7","21","31","----------","----------","59"
"Solar Gen (MU)*","4.76","17.05","44.07","0.47","0.03","66"
"Energy Shortage (MU)","8.2","0.0","0.5","0.0","0.3","9.0"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","41175","45301","42922","18778","2369","146737"
