"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","220.9","-214.3","73.5","-68.5","-11.3","0.4"
"Actual(MU)","220.3","-230.0","84.3","-62.7","-8.2","3.9"
"O/D/U/D(MU)","-0.6","-15.8","10.8","5.9","3.2","3.5"
