"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","43243","47722","37133","18400","2334","148832"
"Peak Shortage (MW)","493","0","0","0","37","530"
"Energy Met (MU)","867","1123","881","343","41","3255"
"Hydro Gen (MU)","129","48","85","39","11","311"
"Wind Gen (MU)","22","30","49","----------","----------","101"
"Solar Gen (MU)*","24.72","19.7","87.11","1.87","0.04","133"
"Energy Shortage (MU)","11.9","0.0","0.0","0.0","1.1","12.9"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","43754","50584","40709","18483","2437","153024"
"","18:38","11:26","18:31","17:51","17:46","18:24"
