"Share of RES in total generation (%)","9.67","4.71","22.34","0.41","0.08","9.33"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","32.06","10.53","39.97","8.71","22.18","22.12"
