"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7319","0","157.8","100.6","0.9","253"
"","Haryana","6097","0","134.7","80.0","-1.4","207"
"","Rajasthan","7383","0","162.7","55.8","-7.0","29"
"","Delhi","4739","0","100.0","76.2","-5.5","0"
"","UP","11973","1610","260.6","120.5","-2.8","390"
"","Uttarakhand","1554","75","34.6","18.6","0.3","123"
"","HP","1149","0","24.7","5.0","-2.4","15"
"","J&K","1189","100","23.3","18.7","-8.8","58"
"","Chandigarh","279","0","5.6","5.1","0.5","54"
"WR","Chhattisgarh","2844","58","65.5","17.3","0.0","357"
"","Gujarat","11412","62","254.8","35.8","3.2","324"
"","MP","6873","5","139.7","72.6","-1.2","404"
"","Maharashtra","15753","69","361.8","102.7","5.1","458"
"","Goa","352","0","6.4","6.5","-0.5","52"
"","DD","233","0","5.8","6.0","-0.3","32"
"","DNH","577","0","15.2","13.5","1.7","35"
"SR","Andhra Pradesh","10811","1500","244.1","85.9","1.4","315"
"","Karnataka","6862","400","148.5","24.2","0.2","213"
"","Kerala","2496","400","48.8","41.3","2.5","304"
"","Tamil Nadu","11008","400","241.4","56.6","0.6","448"
"","Pondy","310","0","6.5","7.0","-0.6","37"
"ER","Bihar","1943","100","41.2","40.8","0.4","70"
"","DVC","2520","0","60.5","-26.1","1.9","150"
"","Jharkhand","1079","0","18.9","12.2","-0.7","100"
"","Odisha","3114","0","66.3","10.5","-2.5","290"
"","West Bengal","6236","0","120.8","30.1","2.3","270"
"","Sikkim","111","0","1.0","1.3","-0.3","50"
"NER","Arunachal Pradesh","98","2","1.4","1.5","-0.1","35"
"","Assam","1054","135","21.6","13.4","3.4","290"
"","Manipur","108","4","1.4","2.0","-0.5","31"
"","Meghalaya","189","11","4.3","1.6","0.1","53"
"","Mizoram","44","2","1.0","1.1","-0.1","9"
"","Nagaland","90","2","1.4","1.4","0.1","30"
"","Tripura","180","16","2.7","1.3","-0.2","52"
