"","NR","WR","SR","ER","NER"
"Schedule(MU)","95.7","-58.3","28.1","-73.5","7.2"
"Actual(MU)","89.9","-83.0","29.0","-64.6","9.1"
"O/D/U/D(MU)","-5.8","-24.8","0.9","8.9","1.9"
