"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","114.9","-98.6","51.3","-78.6","7.7","-3.3"
"Actual(MU)","103.9","-99.7","46.4","-70.3","10.9","-8.8"
"O/D/U/D(MU)","-11.0","-1.1","-4.9","8.3","3.2","-5.5"
