"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5487","0","118.1","73.9","0.4","216"
"","Haryana","5308","0","113.2","69.8","-3.8","84"
"","Rajasthan","6856","0","155.6","58.3","-2.7","99"
"","Delhi","4013","0","80.8","54.7","-2.7","171"
"","UP","10794","1660","240.5","93.9","-4.6","408"
"","Uttarakhand","1575","0","31.3","17.8","-0.1","146"
"","HP","1016","0","21.6","10.9","-1.4","39"
"","J&K","1615","100","29.6","17.3","-0.2","404"
"","Chandigarh","209","0","4.2","4.2","0.1","38"
"WR","Chhattisgarh","3165","103","74.3","21.6","3.5","349"
"","Gujarat","11218","15","256.6","39.1","-1.6","496"
"","MP","6914","0","142.6","71.2","-2.2","134"
"","Maharashtra","15676","149","361.5","101.5","9.5","701"
"","Goa","363","0","7.5","7.0","0.1","42"
"","DD","244","0","5.7","4.8","0.9","12"
"","DNH","583","0","13.8","13.2","0.6","28"
"SR","Andhra Pradesh","10478","2000","237.1","77.3","1.9","244"
"","Karnataka","7454","350","164.2","24.1","0.8","197"
"","Kerala","2754","450","56.4","39.0","1.7","228"
"","Tamil Nadu","10164","2067","223.8","64.6","2.7","489"
"","Pondy","290","0","6.3","7.1","-0.8","19"
"ER","Bihar","1724","175","38.3","39.1","-0.8","130"
"","DVC","2355","0","55.7","-22.8","0.4","320"
"","Jharkhand","873","57","19.3","11.8","0.5","135"
"","Odisha","3435","0","66.8","8.0","0.0","350"
"","West Bengal","5829","39","115.2","26.1","-2.2","145"
"","Sikkim","60","0","1.1","0.8","0.3","20"
"NER","Arunachal Pradesh","75","15","1.3","1.0","0.3","39"
"","Assam","886","217","14.2","11.9","-2.9","120"
"","Manipur","87","3","1.5","1.1","0.4","43"
"","Meghalaya","155","5","2.8","1.4","0.1","91"
"","Mizoram","51","14","0.9","0.9","0.0","16"
"","Nagaland","87","1","1.5","1.2","0.1","19"
"","Tripura","178","4","2.2","0.9","-0.3","15"
