"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","110.7","-119.7","50.8","-52.6","8.1","-2.7"
"Actual(MU)","126.5","-126.8","46.9","-48.7","8.0","5.9"
"O/D/U/D(MU)","15.8","-7.1","-3.9","3.9","-0.1","8.6"
