"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.29","7.38","7.67","57.49","34.84"
"SR GRID","0.00","0.00","0.29","7.38","7.67","57.49","B. Frequency Profile (%)34.84"
