"Share of RES in total generation (%)","5.63","7.87","21.72","0.44","0.06","9.36"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","35.07","11.02","32.87","13.24","27.89","22.96"
