"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","2.8","5.8","2.8","89.8","7.4"
"SR GRID","0.0","0.0","2.0","13.2","2.0","90.3","7.7"
