"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4895","0","100.7","51.7","-0.1","165"
"","Haryana","5090","0","90.8","53.1","0.1","275"
"","Rajasthan","6497","0","142.3","48.3","-4.5","18"
"","Delhi","3055","0","62.6","40.3","-2.5","30"
"","UP","9003","2596","197.7","75.1","-3.5","216"
"","Uttarakhand","1554","0","29.6","16.8","2.7","272"
"","HP","1243","0","23.7","13.8","0.4","92"
"","J&K","1454","100","27.0","16.5","0.2","182"
"","Chandigarh","184","0","3.5","3.7","-0.2","8"
"WR","Chhattisgarh","3131","283","72.6","13.5","8.4","393"
"","Gujarat","11631","64","262.3","45.1","-2.9","314"
"","MP","7274","18","136.5","65.8","-4.1","55"
"","Maharashtra","16531","636","356.6","114.2","3.7","448"
"","Goa","360","76","7.9","6.6","0.9","92"
"","DD","236","1","5.8","4.9","0.9","80"
"","DNH","595","1","14.0","12.9","1.0","86"
"SR","Andhra Pradesh","10928","3000","248.9","71.0","1.3","401"
"","Karnataka","7652","750","161.1","22.8","0.6","216"
"","Kerala","2941","500","59.4","32.6","1.9","192"
"","Tamil Nadu","10760","1582","241.3","69.0","2.2","353"
"","Pondy","312","0","6.6","7.4","-0.9","16"
"ER","Bihar","1629","300","28.7","30.4","-1.6","40"
"","DVC","2533","100","56.7","-29.3","-1.3","140"
"","Jharkhand","1014","0","19.3","7.8","-0.2","20"
"","Odisha","3615","100","71.0","7.7","0.0","270"
"","West Bengal","6727","103","134.5","33.6","-2.5","30"
"","Sikkim","66","0","0.8","1.5","-0.7","4"
"NER","Arunachal Pradesh","92","3","1.0","0.9","0.1","28"
"","Assam","1000","172","15.6","10.4","1.5","172"
"","Manipur","77","1","1.0","1.0","0.0","37"
"","Meghalaya","252","30","4.5","2.7","0.3","74"
"","Mizoram","56","4","1.0","0.8","0.2","12"
"","Nagaland","66","2","0.9","0.7","0.2","30"
"","Tripura","173","44","2.6","0.6","0.0","33"
