"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.7","5.5","1.7","86.6","11.7"
"SR GRID","0.0","0.0","0.3","3.1","0.3","90.3","9.4"
