"","NR","WR","SR","ER","NER","All India"
"Coal","495","964","387","370","11","2228"
"Lignite","14","10","46","0","0","69"
"Hydro","197","100","100","110","21","528"
"Nuclear","27","29","60","0","0","116"
"Gas, Naptha & Diesel","28","64","15","0","25","132"
"RES (Wind, Solar, Biomass & Others)","51","35","113","2","0","202"
"Total","812","1202","722","482","57","3274"
