"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","46693","44562","35653","18297","2416","147621"
"Peak Shortage (MW)","471","0","0","0","43","514"
"Energy Met (MU)","989","1005","813","382","43","3231"
"Hydro Gen (MU)","197","100","100","110","21","528"
"Wind Gen (MU)","8","9","20","----------","----------","37"
"Solar Gen (MU)*","32.26","21.7","58.89","2.06","0.03","115"
"Energy Shortage (MU)","9.2","0.0","0.0","0.0","2.0","11.3"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","47941","45219","35859","18373","2493","148984"
"","19:00","18:59","11:56","19:12","17:51","19:07"
