"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.6","4.5","0.6","95.4","4.0"
"SR GRID","0.0","0.0","0.3","1.7","0.3","80.0","19.7"
