"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.08","0.69","4.13","4.91","73.23","21.86"
"SR GRID","0.00","0.08","0.69","4.13","4.91","73.23","21.86"
