"","NR","WR","SR","ER","NER"
"Schedule(MU)","87.5","-65.2","36.8","-63.8","6.6"
"Actual(MU)","86.5","-77.1","36.3","-55.6","11.2"
"O/D/U/D(MU)","-1.0","-11.9","-0.5","8.1","4.6"
