"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5339","0","102.1","43.8","3.1","265"
"","Haryana","5471","0","105.1","43.9","0.3","284"
"","Rajasthan","8576","0","184.2","77.9","-2.1","206"
"","Delhi","3170","0","58.6","40.8","0.0","279"
"","UP","9756","1875","216.7","82.5","0.8","387"
"","Uttarakhand","1566","75","30.0","19.1","-0.1","82"
"","HP","1347","0","24.9","17.7","1.6","177"
"","J&K","1889","100","37.6","29.1","2.7","306"
"","Chandigarh","183","0","3.4","3.1","0.2","26"
"WR","Chhattisgarh","2820","9","59.2","9.6","-1.9","256"
"","Gujarat","11098","21","242.3","44.8","-1.3","759"
"","MP","9579","20","200.3","112.5","-3.0","306"
"","Maharashtra","17221","553","356.0","115.4","-1.2","637"
"","Goa","396","1","7.7","7.8","-0.5","5"
"","DD","238","1","5.8","6.0","-0.2","11"
"","DNH","601","1","14.0","14.0","0.0","58"
"","Essar steel","218","0","4.9","5.6","-0.6","25"
"SR","Andhra Pradesh","10740","100","243.3","85.1","4.6","416"
"","Karnataka","8134","550","171.7","24.2","1.0","331"
"","Kerala","3259","150","58.6","35.8","2.9","286"
"","Tamil Nadu","11051","2023","240.8","76.7","5.9","437"
"","Pondy","303","0","5.9","6.2","-0.3","17"
"ER","Bihar","1807","300","38.0","35.6","0.7","50"
"","DVC","2509","20","57.3","-15.9","0.8","300"
"","Jharkhand","971","0","21.5","9.9","-0.5","130"
"","Odisha","3333","0","62.7","14.5","0.8","280"
"","West Bengal","6076","5","101.4","21.3","4.1","380"
"","Sikkim","108","0","1.7","1.2","0.5","42"
"NER","Arunachal Pradesh","120","5","1.4","1.1","0.3","66"
"","Assam","1058","83","18.4","10.3","3.5","216"
"","Manipur","112","4","1.4","1.5","-0.1","53"
"","Meghalaya","285","10","4.7","2.5","0.3","67"
"","Mizoram","63","2","1.2","0.9","0.0","22"
"","Nagaland","94","6","1.4","1.3","-0.2","24"
"","Tripura","175","8","3.3","-0.2","0.9","45"
