"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.4","0.3","1.0","0.7","87.4","11.9"
"SR GRID","0.0","0.0","2.6","12.8","2.6","96.0","1.4"
