"","NR","WR","SR","ER","NER"
"Schedule(MU)","63.0","-58.6","44.5","-58.9","8.0"
"Actual(MU)","53.8","-52.6","44.4","-55.6","9.6"
"O/D/U/D(MU)","-9.2","6.0","-0.1","3.3","1.6"
