"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","30070","32079","32715","14412","1795","111071"
"Peak Shortage (MW)","500","114","1907","130","183","2834"
"Energy Met (MU)","698","763","794","301","28","2584"
"Hydro Gen(MU)","136","34","90","24","4","288"
"Wind Gen(MU)","17","21","22","----------","----------","59"
