"","NR","WR","SR","ER","NER"
"Schedule(MU)","78.9","-88.1","36.5","-31.5","3.4"
"Actual(MU)","70.0","-92.8","40.1","-25.5","4.5"
"O/D/U/D(MU)","-8.9","-4.7","3.6","6.0","1.1"
