"","NR","WR","SR","ER","NER"
"Schedule(MU)","84.7","-53.8","43.7","-82.9","7.0"
"Actual(MU)","96.4","-76.1","42.9","-75.2","11.3"
"O/D/U/D(MU)","11.7","-22.3","-0.8","7.7","4.3"
