"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","4.80","13.00","21.60","39.40","43.90","16.70"
"SR GRID","0.00","4.80","13.00","21.60","39.40","43.90","B. Frequency Profile (%)16.70"
