"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5089","0","95.3","43.3","2.2","411"
"","Haryana","5230","0","101.4","39.2","1.2","305"
"","Rajasthan","9099","0","185.5","80.1","-3.5","167"
"","Delhi","3155","0","55.5","39.5","-0.7","298"
"","UP","9500","1700","209.3","78.6","-0.9","245"
"","Uttarakhand","1526","75","29.2","19.1","0.3","147"
"","HP","1234","1","23.0","18.5","-0.6","82"
"","J&K","1892","100","38.2","29.6","2.7","250"
"","Chandigarh","173","0","3.0","3.0","0.0","14"
"WR","Chhattisgarh","2883","2","58.9","13.8","-0.4","341"
"","Gujarat","11441","44","237.3","52.1","-1.6","412"
"","MP","9657","0","199.8","116.0","-1.1","378"
"","Maharashtra","17077","331","339.4","119.0","8.5","744"
"","Goa","399","0","6.9","7.2","-0.6","36"
"","DD","251","0","5.6","6.1","-0.5","13"
"","DNH","638","0","14.0","13.9","0.0","65"
"","Essar steel","257","0","5.4","5.4","0.0","60"
"SR","Andhra Pradesh","10129","0","234.5","80.4","2.3","328"
"","Karnataka","7867","400","161.6","22.0","1.6","365"
"","Kerala","2960","150","53.4","35.2","1.2","210"
"","Tamil Nadu","10485","625","229.0","76.8","6.1","324"
"","Pondy","256","0","5.0","6.0","-1.0","6"
"ER","Bihar","1937","400","37.1","36.7","0.4","100"
"","DVC","2527","0","52.8","-15.7","1.4","200"
"","Jharkhand","934","0","21.1","10.8","-1.7","50"
"","Odisha","3276","0","63.8","15.1","3.4","220"
"","West Bengal","5515","0","94.1","9.1","11.0","300"
"","Sikkim","111","0","1.4","1.3","0.1","21"
"NER","Arunachal Pradesh","117","3","1.8","1.1","0.7","54"
"","Assam","1053","4","19.3","10.9","3.2","132"
"","Manipur","94","10","1.4","1.5","-0.1","48"
"","Meghalaya","270","1","3.9","2.7","-0.6","58"
"","Mizoram","62","3","1.1","0.9","0.0","25"
"","Nagaland","97","3","1.7","1.3","0.1","26"
"","Tripura","183","2","3.3","-0.2","0.9","75"
