"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","35522","33904","30190","14688","1877","116181"
"Peak Shortage (MW)","1711","201","1086","150","134","3282"
"Energy Met (MU)","799","835","730","299","33","2696"
"Hydro Gen(MU)","96","57","79","17","7","255"
"Wind Gen(MU)","7","15","16","----------","----------","38"
