"","NR","WR","SR","ER","NER"
"Schedule(MU)","113.4","-81.7","39.8","-80.2","4.1"
"Actual(MU)","100.5","-76.5","40.5","-69.4","4.1"
"O/D/U/D(MU)","-12.9","5.2","0.7","10.8","0.0"
