"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","558","1245","563","387","9","2762"
"Hydro","150","20","105","55","14","344"
"Nuclear","25","30","43","0","0","98"
"Gas, Naptha & Diesel","49","55","25","0","29","159"
"RES (Wind, Solar, Biomass & Others)","47","60","159","1","0","267"
"Total","829","1410","894","443","52","3629"
