"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","140.3","-166.2","78.0","-50.7","-1.2","0.2"
"Actual(MU)","121.1","-177.7","88.8","-31.8","-5.6","-5.3"
"O/D/U/D(MU)","-19.2","-11.6","10.8","18.9","-4.4","-5.5"
